date,channel_id,title,thumbnail,type,location,sub_before,sub_after,sub_today,video_today,link,name_link,num
08/08/2017,UClW4jraMKz6Qj69lJf-tODA,YoungBoy Never Broke Again,"<img src= ""https://yt3.ggpht.com/-QfFnPZn6UC8/AAAAAAAAAAI/AAAAAAAAAAA/b8g0ExWhOtM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Artist,USA,"357,149","362,086","371,569",111,https://www.youtube.com/channel/UClW4jraMKz6Qj69lJf-tODA,"<a href= ""https://www.youtube.com/channel/UClW4jraMKz6Qj69lJf-tODA""target=""_blank"">YoungBoy Never Broke Again</a>",1
08/09/2017,UCc2-xT3ub5IhGoYae8-GjWA,Questions for Science,"<img src= ""https://yt3.ggpht.com/-CrTbuPXFXmk/AAAAAAAAAAI/AAAAAAAAAAA/OOoh4KmhIP0/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Creator,USA,"53,616","58,741","62,485",51,https://www.youtube.com/channel/UCc2-xT3ub5IhGoYae8-GjWA,"<a href= ""https://www.youtube.com/channel/UCc2-xT3ub5IhGoYae8-GjWA""target=""_blank"">Questions for Science</a>",2
08/10/2017,UCHCpzIojIqaV_NL2RUp237g,JonPardiVEVO,"<img src= ""https://yt3.ggpht.com/-qY-66wtd_54/AAAAAAAAAAI/AAAAAAAAAAA/49zpO8kvNzo/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Artist,USA,"159,058","","159,822",34,https://www.youtube.com/channel/UCHCpzIojIqaV_NL2RUp237g,"<a href= ""https://www.youtube.com/channel/UCHCpzIojIqaV_NL2RUp237g""target=""_blank"">JonPardiVEVO</a>",3
08/11/2017,UC178kThBUvGNps5cabRP_2Q,The Dark Den,"<img src= ""https://yt3.ggpht.com/-NdFaDBCmdWY/AAAAAAAAAAI/AAAAAAAAAAA/Stcmql0LPtk/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Creator,USA,"37,947","","39,760",127,https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q,"<a href= ""https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q""target=""_blank"">The Dark Den</a>",0
08/11/2017,UC178kThBUvGNps5cabRP_2Q,The Dark Den,"<img src= ""https://yt3.ggpht.com/-NdFaDBCmdWY/AAAAAAAAAAI/AAAAAAAAAAA/Stcmql0LPtk/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Creator,USA,"37,947","","39,767",127,https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q,"<a href= ""https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q""target=""_blank"">The Dark Den</a>",1
08/11/2017,UC178kThBUvGNps5cabRP_2Q,The Dark Den,"<img src= ""https://yt3.ggpht.com/-NdFaDBCmdWY/AAAAAAAAAAI/AAAAAAAAAAA/Stcmql0LPtk/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Creator,USA,"37,947","","39,771",127,https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q,"<a href= ""https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q""target=""_blank"">The Dark Den</a>",2
08/11/2017,UC178kThBUvGNps5cabRP_2Q,The Dark Den,"<img src= ""https://yt3.ggpht.com/-NdFaDBCmdWY/AAAAAAAAAAI/AAAAAAAAAAA/Stcmql0LPtk/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Creator,USA,"37,947","","39,773",127,https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q,"<a href= ""https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q""target=""_blank"">The Dark Den</a>",4
08/10/2017,UCHCpzIojIqaV_NL2RUp237g,JonPardiVEVO,"<img src= ""https://yt3.ggpht.com/-qY-66wtd_54/AAAAAAAAAAI/AAAAAAAAAAA/49zpO8kvNzo/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Artist,USA,"159,058","159,828","160,215",34,https://www.youtube.com/channel/UCHCpzIojIqaV_NL2RUp237g,"<a href= ""https://www.youtube.com/channel/UCHCpzIojIqaV_NL2RUp237g""target=""_blank"">JonPardiVEVO</a>",3
08/11/2017,UC178kThBUvGNps5cabRP_2Q,The Dark Den,"<img src= ""https://yt3.ggpht.com/-NdFaDBCmdWY/AAAAAAAAAAI/AAAAAAAAAAA/Stcmql0LPtk/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Creator,USA,"37,947","","39,783",127,https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q,"<a href= ""https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q""target=""_blank"">The Dark Den</a>",4
08/12/2017,UCBTPbSYpsY9keVvoNKdJ_Vw,dejloafVEVO,"<img src= ""https://yt3.ggpht.com/-R0r434WaRv0/AAAAAAAAAAI/AAAAAAAAAAA/eSUMh9HWobg/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">",Artist,USA,"685,874","","686,654",15,https://www.youtube.com/channel/UCBTPbSYpsY9keVvoNKdJ_Vw,"<a href= ""https://www.youtube.com/channel/UCBTPbSYpsY9keVvoNKdJ_Vw""target=""_blank"">dejloafVEVO</a>",5
